Player,Composite,Sites,ktc,idpTradeCalc
Kyle Monangai,3509,3,3509,3381
Kyle Pitts,4837,3,3532,4939
Kyle Williams,2186,3,2100,2186
Kyler Gordon,1244,1,,945
Kyler Murray,3867,3,3459,3867
Kyren Williams,4977,3,4968,4977
L'Jarius Sneed,1134,1,,784
LT Overton,560,1,,
LaJohntay Wester,601,2,601,
Ladd McConkey,5668,3,5602,5668
Laiatu Latu,3052,1,,3606
Lake McRee,1446,1,,
Lamar Jackson,7798,3,7798,7507
Lander Barton,301,1,,
Landon Jackson,1117,1,,759
Lathan Ransom,1442,1,,1236
Le'Veon Moss,862,3,837,862
LeQuint Allen,2078,3,1903,2078
Lee Hunter,1115,1,,756
Leo Chenal,1912,1,,1928
Leonard Williams,1907,1,,1921
Lil'Jordan Humphrey,564,2,564,
Lukas Van Ness,1441,1,,1235
Luke McCaffrey,1520,3,1310,1520
Luke Musgrave,2001,3,1391,2001
Luke Schoonmaker,1593,3,1022,1461
Luther Burden,5492,3,4928,5492
Mac Jones,2389,3,2373,2389
Mack Hollins,1441,3,1441,948
Mack Wilson,1922,1,,1943
Makai Lemon,4893,3,4177,4893
Malachi Corley,1191,3,1165,1191
Malachi Fields,3152,3,3152,2806
Malachi Lawrence,1938,1,,1967
Malachi Moore,503,1,,
Malaki Starks,1910,1,,1926
Malcolm Koonce,1123,1,,767
Malik Benson,1698,3,1613,1698
Malik Davis,1684,3,1684,1434
Malik Heath,485,2,485,
Malik Muhammad,503,1,,
Malik Mustapha,1445,1,,1241
Malik Nabers,7399,3,6961,7399
Malik Washington,2692,3,2633,2692
Malik Willis,3675,3,3376,3675
Mansoor Delane,1128,1,,774
MarShawn Lloyd,2565,3,2565,2477
Marcus Harris,503,1,,
Marcus Jones,1455,1,,1256
Marcus Mariota,2201,3,2201,935
Mark Andrews,3375,3,2647,3000
Marlin Klein,1924,3,1328,1689
Marlon Humphrey,1158,1,,818
Marquise Brown,1302,3,1198,1302
Marvin Harrison,4542,3,3529,4775
Marvin Mims,2075,3,1912,2075
Mason Graham,1539,1,,1380
Mason Taylor,2779,3,2111,2601
Mason Tipton,861,3,861,858
Matayo Uiagalelei,526,1,,
Matt Gay,429,1,,
Matt Hibner,1905,3,1310,1576
Matthew Golden,4335,3,4335,3667
Matthew Hibner,1142,1,,
Matthew Stafford,3733,3,3608,3733
Max Klare,2753,3,2087,2642
Maxx Crosby,3049,1,,3602
Micah McFadden,1136,1,,786
Micah Parsons,4280,1,,5414
Michael Carter,825,3,804,825
Michael Mayer,3277,3,2555,2503
Michael Penix,3044,3,3044,2717
Michael Pittman,3267,3,2883,3267
Michael Taaffe,1142,1,,795
Michael Trigg,1652,3,1037,1652
Michael Wilson,3720,3,3720,3709
Mikail Kamara,320,1,,
Mike Evans,3445,3,3445,3207
Mike Gesicki,2348,3,1714,1764
Mike Green,1929,1,,1953
Mike Jackson,503,1,,
Mike Sainristil,1529,1,,1365
Mike Washington,3040,3,2945,3040
Milton Williams,1904,1,,1917
Minkah Fitzpatrick,1436,1,,1228
Mitchell Evans,1720,3,1136,1530
Montez Sweat,2041,1,,2118
Mykel Williams,1453,1,,1253
Myles Garrett,4274,1,,5404
Myles Murphy,1520,1,,1352
Najee Harris,1505,3,1505,1362
Nakobe Dean,2804,1,,3241
Nate Boerkircher,881,1,,
Nate Landman,2705,1,,3096
Nate Wiggins,1213,1,,899
Nehemiah Pritchett,503,1,,
Nic Scourton,1481,1,,1294
Nicholas Singleton,2872,3,2617,2872
Nick Bolton,3043,1,,3593
Nick Bosa,3047,1,,3599
Nick Chubb,770,1,,
Nick Cross,1968,1,,2011
Nick Emmanwori,3047,1,,3598
Nick Herbig,2696,1,,3082
Nick Martin,1441,1,,1235
Nick Westbrook-Ikhine,1006,3,805,1006
Nico Collins,5723,3,5723,5684
Nik Bonitto,2974,1,,3492
Nnamdi Madubuike,1444,1,,1240
Noah Fant,2051,3,1447,1658
Noah Gray,1963,3,1366,1836
Noah Sewell,1180,1,,851
Noah Whittington,1901,1,,
Nohl Williams,503,1,,
Nolan Smith,1926,1,,1949
Odafe Oweh,1551,1,,1397
Odell Beckham,785,1,,
Olamide Zaccheaus,1229,3,1229,1185
Ollie Gordon,2170,3,1973,2170
Oluwafemi Oladejo,1167,1,,832
Omar Cooper,3340,3,3264,3340
Omar Speights,1126,1,,771
Omarion Hampton,6944,3,6446,6944
Omarr Norman-Lott,1162,1,,825
Oronde Gadsden,3733,3,2964,3537
Osa Odighizuwa,1120,1,,763
Oscar Delp,2661,3,2002,2490
Parker Washington,5776,3,5776,4403
Pat Bryant,2918,3,2918,2637
Pat Freiermuth,3129,3,2424,2497
Pat Surtain,1120,1,,762
Patrick Mahomes,6459,3,6459,6086
Patrick Queen,1965,1,,2006
Paul Geelen,429,1,,
Paulson Adebo,1438,1,,1231
Payton Wilson,1953,1,,1988
Pete Werner,1236,1,,934
Peter Woods,1456,1,,1257
Phil Mafah,1280,3,829,1280
Princely Umanmielen,1160,1,,822
Puka Nacua,8656,3,7963,8726
Quan Martin,1117,1,,758
Quay Walker,2790,1,,3220
Quentin Johnston,3339,3,3044,3339
Quentin Lake,1915,1,,1933
Quincy Williams,1911,1,,1927
Quinn Ewers,1561,3,1367,1561
Quinnen Williams,1932,1,,1958
Quinshon Judkins,5346,3,4625,5346
Quinyon Mitchell,1120,1,,762
R Mason Thomas,1900,1,,1911
RJ Harvey,3380,3,3212,3380
RJ Maryland,1168,1,,
Rachaad White,2721,3,2609,2721
Raheim Sanders,1831,3,1831,1141
Rahsul Faison,1955,1,,
Rashan Gary,1498,1,,1319
Rashee Rice,4912,3,4670,4912
Rasheen Ali,1153,3,1120,1153
Rashid Shaheed,2646,3,2537,2646
Rashod Bateman,2463,3,2463,1987
Ray Davis,1975,3,1947,1975
Ray-Ray McCloud,459,2,459,
Red Murdock,1139,1,,790
Reed Blankenship,1435,1,,1227
Reggie Virgil,822,3,822,816
Rhamondre Stevenson,3201,3,3189,3201
Ricky Pearsall,2553,3,2553,2540
Rico Dowdle,3125,3,2710,3125
Riley Leonard,1485,3,1312,1485
Riley Moss,1437,1,,1229
Riley Nowakowski,1442,1,,
Riq Woolen,503,1,,
Rob Henry,1901,1,,
Robert Spillane,1909,1,,1924
Rod Moore,266,1,,
Roman Hemby,1938,1,,
Roman Wilson,2079,3,2079,1882
Rome Odunze,5211,3,4665,5211
Romello Brinson,1151,1,,
Romello Height,1153,1,,812
Romeo Doubs,3145,3,2829,3145
Ronnie Hickman,1118,1,,760
Roquan Smith,3053,1,,3608
Roschon Johnson,1497,3,1497,1437
Rueben Bain,2930,1,,3426
Ryan Flournoy,2062,3,2062,2030
Sam Darnold,4223,3,4157,4223
Sam Howell,889,3,889,885
Sam LaPorta,5518,3,4492,5069
Sam Roush,1636,3,1059,1401
Samaje Perine,1016,3,1016,840
Saquon Barkley,5274,3,4983,5274
Sauce Gardner,1118,1,,760
Savion Williams,1597,3,1369,1597
Sean Tucker,2222,3,1986,2222
Seth McGowan,1920,3,1920,1697
Shaun Dolac,1201,1,,882
Shavon Revel,503,1,,
Shedeur Sanders,2465,3,2355,2465
Sheldon Rankins,514,1,,
Shemar James,1145,1,,799
Shemar Stewart,1435,1,,1227
Sione Vaki,1359,3,1359,881
SirVocea Dennis,1434,1,,1225
Skyler Bell,2186,3,2104,2186
Skyy Moore,1019,3,1019,876
Sonny Styles,3435,1,,4169
Spencer Rattler,1421,3,1223,1421
Stefon Diggs,2899,3,2899,2680
Stetson Bennett,748,2,748,
Suntarine Perkins,436,1,,
T'Vondre Sweat,1248,1,,951
T.J. Edwards,1908,1,,1922
T.J. Hockenson,3340,3,2612,2905
T.J. Watt,2890,1,,3367
TJ Parker,1901,1,,1912
Tahj Brooks,1610,3,1385,1610
Tahj Washington,1297,3,649,1297
Tai Felton,1378,3,1219,1378
Talanoa Hufanga,1915,1,,1932
Tank Bigsby,2687,3,2687,2521
Tank Dell,2618,3,2304,2618
Tanner Koziol,1638,3,1062,1520
Tanner McKee,1098,3,901,1098
Tarheeb Still,1131,1,,779
Taron Johnson,1165,1,,829
Tatum Bethune,1226,1,,918
Taurean York,340,1,,
Tavius Robinson,514,1,,
Taylen Green,1597,3,1597,1435
Ted Hurst,2655,3,2655,2541
Teddye Buchanan,1900,1,,1911
Tee Higgins,5050,3,4975,5050
Terrance Ferguson,3961,3,3162,3318
Terrel Bernard,1950,1,,1984
Terrion Arnold,1117,1,,758
Terry McLaurin,3492,3,3163,3492
Tetairoa McMillan,6219,3,6106,6219
Tez Johnson,2105,3,1966,2105
Theo Jackson,1116,1,,757
Theo Johnson,2471,3,1825,2340
Thomas Fidone,980,3,470,840
Tommy Eichenberg,1117,1,,759
Tommy Tremble,1811,3,1223,1579
Tony Pollard,2769,3,2645,2769
Tory Horton,2438,3,2167,2438
Travis Etienne,4332,3,3753,4332
Travis Hunter,4087,3,2441,5637
Travis Jones,1122,1,,766
Travis Kelce,3591,3,2837,2922
Travon Walker,2021,1,,2089
Tre Tucker,2786,3,2786,2497
Tre' Harris,2649,3,2584,2649
Tre'von Moehrig,1927,1,,1951
TreVeyon Henderson,5014,3,5013,5014
Tremaine Edmunds,1999,1,,2056
Trent McDuffie,1460,1,,1263
Trenton Simpson,1198,1,,878
Trevin Wallace,1435,1,,1226
Trevor Etienne,2025,3,1860,2025
Trevor Lawrence,6670,3,6670,6235
Trey Benson,1949,3,1589,1949
Trey Hendrickson,2591,1,,2927
Trey Lance,920,3,876,920
Trey McBride,8701,3,7609,8140
Trey Palmer,1229,3,1229,1213
Trey Smack,429,1,,
Treydan Stukes,1501,1,,1324
Treylon Burks,1561,3,1272,1561
Trinidad Chambliss,1698,1,,
Troy Dye,1125,1,,770
Troy Franklin,2401,3,2271,2401
Tua Tagovailoa,2339,3,1932,2339
Tucker Kraft,5932,3,4845,5573
Tuli Tuipulotu,2871,1,,3339
Tutu Atwell,1378,3,1332,1378
Ty Johnson,1255,3,1179,1255
Ty Okada,1164,1,,827
Ty Simpson,3725,3,3513,3725
Ty'Ron Hopper,1152,1,,810
Tyjae Spears,2554,3,2529,2554
Tykee Smith,2615,1,,2963
Tyler Allgeier,2698,3,2698,2687
Tyler Badie,909,3,897,909
Tyler Bass,429,1,,
Tyler Goodson,991,3,913,991
Tyler Higbee,1776,3,1188,1598
Tyler Huntley,1119,3,1119,1058
Tyler Loop,429,1,,
Tyler Nubin,1471,1,,1279
Tyler Scott,921,3,518,921
Tyler Shough,5632,3,5632,4857
Tyler Warren,6885,3,5697,6635
Tyquan Thornton,2037,3,2037,1789
Tyree Wilson,1159,1,,820
Tyreek Hill,1089,3,874,1089
Tyrel Dodson,1484,1,,1298
Tyrell Shavers,778,3,626,778
Tyren Montgomery,1750,1,,
Tyrice Knight,1176,1,,845
Tyrique Stevenson,503,1,,
Tyrone Tracy,2321,3,1816,2321
Tyson Bagent,2075,3,2075,1213
Tyson Campbell,1186,1,,860
Uchenna Nwosu,1435,1,,1226
Upton Stout,1486,1,,1302
Ventrell Miller,1437,1,,1229
Vernon Broughton,514,1,,
Vinny Anthony,1501,1,,
Wade Woodaz,1222,1,,913
Walter Nolen,1465,1,,1271
Wan'Dale Robinson,3388,3,2900,3388
Whit Weeks,385,1,,
Wil Lutz,429,1,,
Will Anderson,4653,1,,5963
Will Howard,1753,3,1653,1753
Will Johnson,1117,1,,758
Will Kacmarek,1482,2,925,
Will Levis,1013,3,731,1013
Will McDonald,1901,1,,1912
Will Reichard,429,1,,
Will Shipley,1643,3,1643,1465
Willie Gay,1121,1,,764
Woody Marks,2942,3,2778,2942
Xavier Gipson,925,3,810,925
Xavier Hutchinson,2219,3,2219,1813
Xavier Legette,1901,3,1832,1901
Xavier McKinney,1570,1,,1425
Xavier Restrepo,1103,3,973,1103
Xavier Watts,1940,1,,1970
Xavier Worthy,3236,3,3236,3131
Yaya Diaby,1919,1,,1939
Za'Darius Smith,518,1,,
Zach Allen,2009,1,,2071
Zach Charbonnet,3260,3,3219,3260
Zach Ertz,1974,2,1378,
Zach Harrison,1117,1,,759
Zach Sieler,1440,1,,1234
Zachariah Branch,2832,3,2495,2832
Zack Baun,2716,1,,3111
Zaire Franklin,1914,1,,1931
Zakee Wheatley,1122,1,,766
Zaven Collins,1440,1,,1234
Zavier Scott,475,2,475,
Zavion Thomas,2058,3,2058,1979
Zay Flowers,6015,3,6015,5300
Zion Young,1474,1,,1284
Zyon McCollum,503,1,,
